review_text,review_rating,author_id,author_name,author_app_version,review_datetime_utc,review_likes,sentiment,sentiment_score,sentiment_meaning,review_length,word_count,cluster,topic,topic_confidence,year_month
It always need to update and when we're updating it theres no changes. The only changes is mb of apps🙄,1,118325*********804149,A Google user,5.67.0,2023-10-24 02:57:19+00:00,0,4 stars,0.3839765787124634,Positive,16,20,1,User Interface and Experience,0.23231986165046692,2023-10
"Gcash keeps on updating but no new features presented. It's so annoying every time I open the app, it keeps on popping up for update",1,101805*********093776,A Google user,5.46.1,2021-12-15 10:51:10+00:00,1,2 stars,0.4859953224658966,Negative,28,25,1,User Interface and Experience,0.3013637959957123,2021-12
wtfff poor service,1,115867*********273475,A Google user,5.59.1,2023-05-07 06:01:10+00:00,0,1 star,0.6203517317771912,Very negative,33,3,1,Customer Service Support,0.2913864850997925,2023-05
"Unuseful help line, until now I can't use my I account. Unresponsive.",1,111508*********293731,A Google user,5.64.1,2023-05-11 03:31:46+00:00,0,1 star,0.7791921496391296,Very negative,108,12,0,Customer Service Support,0.273098886013031,2023-05
I cant login to the app. I keep getting the authentication code but after that there's no submit or enter to proceed. This app is useless.,1,105503*********470436,A Google user,5.58.2,2022-11-19 09:35:07+00:00,0,1 star,0.7977627515792847,Very negative,96,26,0,User Interface and Experience,0.22837549448013306,2022-11
I have the same issue with others (icon missing but still installed). Please fix immediately.,1,101975*********100283,A Google user,5.59.1,2022-12-21 03:38:18+00:00,0,3 stars,0.29014354944229126,Neutral,232,15,1,Customer Service Support,0.26681211590766907,2022-12
I bought load and dont recive anything but my balance is gone.,1,113979*********825902,A Google user,5.45.0,2021-10-16 02:42:35+00:00,0,1 star,0.4514883756637573,Very negative,195,12,1,Fees and Charges,0.18929976224899292,2021-10
"Gcash Gago.. everyday kita ginagamit, wla MN lng kibo gscore ko.. mga hinayukap kayo.. ka kotsaba nyo ata mga online casino mga peste keu",1,103619*********041971,A Google user,5.69.3,2023-11-11 16:00:39+00:00,0,1 star,0.361441045999527,Very negative,116,24,1,Fees and Charges,0.5254212617874146,2023-11
I really hate it when I waited for too long for the codes to arrive. I waited for almost an hour. I'm really pissed of this kind of service.,1,110571*********530047,A Google user,5.58.2,2022-11-23 16:26:20+00:00,0,1 star,0.7157942652702332,Very negative,40,29,0,Customer Service Support,0.24264027178287506,2022-11
This app is start annoying it is always asking an update every time i open it then now i put 1000 asking again an update when i go to the playstore to update i cant update what happen ? Will you please fix this kind of problem?,1,111772*********996937,A Google user,5.59.1,2023-01-17 23:25:50+00:00,0,1 star,0.6436207890510559,Very negative,21,47,0,User Interface and Experience,0.2676841914653778,2023-01
I can't open my gcash account,1,100468*********178706,A Google user,5.69.3,2023-11-02 06:05:07+00:00,0,1 star,0.6235435605049133,Very negative,18,6,1,Account Login Issues,0.40389150381088257,2023-11
"At first Iike this app and I put savings my Gsave CIMB BANK. Last day asked help on gcash customer service at messenger. And they replied and ask some questions, but they AUTOMATICALLY change my mpin and ask my OTP. Only my concern is WHY I CANT SEND MONEY to my friend's coins.ph account. And they get angry when I refused to give my OTP. THEY CHATTED ME CALL US AND LET'S TALK FIGHT. NOW THEY BLOCKED ME on messenger @gcash customer service.",1,112136*********531444,A Google user,5.29.1,2020-07-08 06:09:50+00:00,0,1 star,0.36260172724723816,Very negative,122,83,0,Customer Service Support,0.4290626645088196,2020-07
Grabe nman service I cannot transfer my funds to my bank.,1,103782*********237321,A Google user,5.59.1,2022-12-15 02:12:41+00:00,0,1 star,0.7772760987281799,Very negative,46,11,0,Customer Service Support,0.2035803198814392,2022-12
Puro update,1,104645*********735668,A Google user,5.27.2,2020-06-12 09:43:35+00:00,0,5 stars,0.43106910586357117,Very Positive,11,2,1,User Interface and Experience,0.25395020842552185,2020-06
anong problema ng gcash d ko mabuksan,1,111060*********082869,A Google user,5.17.3,2019-06-20 09:08:51+00:00,0,2 stars,0.38983258605003357,Negative,96,7,1,Fees and Charges,0.18090561032295227,2019-06
Gcash is not good for savings account because they blame someone else become scammer they block my account they not check first my account if I'm the scammer or not they not thing the person is innocent just that blocking the account the person and not responding now to my message don't trust the gcash they don't check first the account before they block the account of the person if innocent 😠😠😠😠😠,1,104101*********582726,A Google user,5.65.1,2023-06-30 04:45:16+00:00,0,1 star,0.7589619755744934,Very negative,109,72,0,Security and Fraud,0.6004480719566345,2023-06
APP Doesn't Open Anymore after the Update.,1,101091*********363105,Ro**************************************t),5.69.0,2023-10-13 04:21:07+00:00,0,1 star,0.7142345309257507,Very negative,52,7,0,App Crashes or Bugs,0.3047676086425781,2023-10
App keeps crashing and verification process to make your account fully verified is always down! They seriously need to fix these issues!,1,108162*********988872,St***********go,5.69.0,2023-10-15 13:17:57+00:00,1,1 star,0.6031505465507507,Very negative,242,22,1,App Crashes or Bugs,0.43791669607162476,2023-10
"Garbage app, kung kelang kailangan mo chaka magiging unavailable, also my time na nag naload ako wala naman dumating. Antagal din mg replay ng tech support. Use other e wallet na lang this one is garbage.",1,112520*********245113,A Google user,5.27.1,2020-04-26 08:18:05+00:00,0,1 star,0.90386962890625,Very negative,125,36,0,App Crashes or Bugs,0.3317938446998596,2020-04
Anong nangyayare gcash bakit gnito?? Dpat naba kaming kbhan ausin nyo nmn po toh..,1,111626*********737762,A Google user,5.53.1,2023-05-09 04:41:10+00:00,0,1 star,0.41773900389671326,Very negative,42,14,1,Fees and Charges,0.22487787902355194,2023-05
Hay nako lalo nyo pa tutulungan ang manga scammer ang pangit ng pag update nyo ng gcash pati text d na malaman ang full name nahihirapan kami mang hula kung ganyan lang din gcash nyo aba wag na kayo mag pa gcash 😡😡😡😡😡pi nahihirapan nyo manga tao😡😡😡😡😡,1,108232*********242489,A Google user,5.56.0,2022-10-02 01:53:44+00:00,0,1 star,0.4073306918144226,Very negative,141,47,0,Security and Fraud,0.19056494534015656,2022-10
"This is the worst ewallet so far. First, there was an unauthorised transaction made from my account and I contacted their customer service but was not reimbursed for the reason that the transaction made was valid. Second, the day I contacted their customer service via email, it took 1 week after they provided a response. The result? more unauthorised transaction was made in my account. Please, for your safety and money protection, don't use this e wallet. This app is an easy target for frauds.",1,114368*********079065,A Google user,5.49.1,2022-02-22 05:05:36+00:00,24,1 star,0.939582347869873,Very negative,47,85,0,Security and Fraud,0.5668753385543823,2022-02
Ang hirap mag log in ulit sa gcash kahit may network nman ..,1,103724*********215429,A Google user,4.7.1,2018-02-26 03:58:21+00:00,0,2 stars,0.32171323895454407,Negative,353,13,1,Money Transfer and Cash In,0.5431780815124512,2018-02
Lagi may issue,1,106406*********943712,A Google user,5.19.4,2019-09-11 04:17:25+00:00,0,1 star,0.3413868248462677,Very negative,159,3,1,Fees and Charges,0.19650544226169586,2019-09
First registration of account. And I already got locked out and I can't even request to change my MPIN,1,102996*********623098,A Google user,5.31.1,2020-08-20 00:13:12+00:00,0,1 star,0.6894698143005371,Very negative,82,19,0,Account Login Issues,0.2799191474914551,2020-08
I cant update it,1,114856*********578698,A Google user,5.24.0,2020-06-17 02:03:02+00:00,0,1 star,0.36304107308387756,Very negative,63,4,1,Account Login Issues,0.15747322142124176,2020-06
"It's supposed to give convenience but it is giving me so much frustration upon verifying my account! I've been trying to fill in my details but it's not clicking, it's not showing any selection. What a bad experience.",1,112008*********522501,A Google user,5.50.0,2022-04-01 23:36:22+00:00,12,1 star,0.6575804352760315,Very negative,49,38,0,User Interface and Experience,0.3597142696380615,2022-04
"Why so loading Its hard to open when always loading, always updating and still loading!!!",1,116632*********478752,A Google user,5.53.1,2022-07-05 11:25:39+00:00,0,2 stars,0.38055965304374695,Negative,17,15,1,User Interface and Experience,0.2631121873855591,2022-07
Update lang malakas,1,115652*********065505,A Google user,5.43.0,2021-09-11 00:55:48+00:00,0,1 star,0.27666178345680237,Very negative,24,3,1,User Interface and Experience,0.17439675331115723,2021-09
The badges prize are all scam I can't claim my 50 scammmmmmm,1,115637*********844862,A Google user,5.66.2,2023-07-20 10:34:10+00:00,0,1 star,0.7642533183097839,Very negative,162,12,0,Security and Fraud,0.3380894660949707,2023-07
Parang Every week naman po yung pag uupdate tas ang hina sa internet connection..,1,117761*********378223,A Google user,5.60.0,2023-02-09 03:43:16+00:00,0,1 star,0.283025324344635,Very negative,351,14,1,Fees and Charges,0.24079324305057526,2023-02
Hack!!! Gcash is not safe anymore!!! Someone is hacking my account!!! Ive lost my money!!! Fix this GCASH!!!,1,110033*********793120,A Google user,5.21.2,2019-11-10 01:41:17+00:00,0,1 star,0.957248866558075,Very negative,64,18,0,Security and Fraud,0.6286883354187012,2019-11
why this app keeps disappearing? please fix this immediately.,1,110740*********104153,A Google user,5.59.1,2022-12-13 11:24:44+00:00,0,1 star,0.40227919816970825,Very negative,123,9,1,App Crashes or Bugs,0.3523710370063782,2022-12
"Give me back my load, poor customer service",1,108250*********183071,A Google user,5.50.0,2022-03-31 01:29:44+00:00,1,1 star,0.6481010913848877,Very negative,34,8,1,Fees and Charges,0.32002949714660645,2022-03
"This app is good before when I used time, but after few months of some updates it makes me mad due to late of opt respond then I try again money send again and again but the code is not yet come... And my request is suspended due three attempts of request..... And wait again for 5 min... What happened to this apps",1,104882*********824116,A Google user,5.59.0,2022-12-02 03:42:17+00:00,1,1 star,0.6642353534698486,Very negative,43,63,0,App Crashes or Bugs,0.2917528450489044,2022-12
very poor..please hasten your apps,1,103516*********475588,A Google user,5.69.1,2023-10-27 09:48:39+00:00,0,1 star,0.6702302098274231,Very negative,11,5,0,User Interface and Experience,0.2723831832408905,2023-10
update nalang ng update kaka update lang di tuloy makuha pera,1,114351*********320665,A Google user,5.52.0,2022-05-27 23:46:04+00:00,0,1 star,0.3905102610588074,Very negative,11,11,1,User Interface and Experience,0.2573791444301605,2022-05
nawawala ang app. nkakapagod mag uninstall install ulit. kada oras,1,111886*********601608,A Google user,5.59.0,2022-12-03 11:03:20+00:00,0,1 star,0.35503870248794556,Very negative,12,10,1,App Crashes or Bugs,0.2867678105831146,2022-12
having hard times of using it,1,115367*********634644,A Google user,5.29.1,2020-08-15 01:59:21+00:00,0,3 stars,0.3274341821670532,Neutral,257,6,1,User Interface and Experience,0.37398436665534973,2020-08
The only problem with this app is the update..it took so long and it is so annoying!,1,105615*********200997,A Google user,5.31.0,2020-08-21 02:23:39+00:00,0,2 stars,0.42389950156211853,Negative,65,17,1,User Interface and Experience,0.29437583684921265,2020-08
Canot b update,1,114073*********358167,A Google user,5.28.1,2020-06-01 00:34:32+00:00,0,3 stars,0.2864578366279602,Neutral,53,3,1,App Crashes or Bugs,0.21928873658180237,2020-06
"Ambobo ng app niyo, ayaw mabuksan. Pag mag log-in laging error, kindly submit a ticket blah blah. Pukingina ano kayo LTO? Ina niyo ayusin niyo app niyo, parang signal niyo bulok",1,106264*********052510,A Google user,5.45.0,2021-10-05 08:28:35+00:00,0,1 star,0.5945566296577454,Very negative,72,31,0,App Crashes or Bugs,0.30621102452278137,2021-10
can't log in.. forgot my pin no# and no service avalable.. fix my problem. i already contact your service no one answers my problem on my pin no#,1,100792*********806093,A Google user,5.15.3,2019-04-23 16:22:22+00:00,1,1 star,0.8231217265129089,Very negative,28,28,0,Customer Service Support,0.2836214005947113,2019-04
Its just a to waste money..they detect our money....evan we are using their app...,1,102716*********933580,A Google user,5.43.0,2021-08-20 09:44:17+00:00,0,1 star,0.759813129901886,Very negative,45,14,0,Fees and Charges,0.23453618586063385,2021-08
I cant open my gcrypto its been 1 week already since i cant open my gcrypto hope you will fix it,1,108546*********368215,Kh***********od,5.69.0,2023-10-15 04:43:39+00:00,0,1 star,0.28296947479248047,Very negative,57,21,1,Customer Service Support,0.3005658984184265,2023-10
"I bought 2 paytv load and did not received my e-pins. I created a ticket and after 2 days they marked it ""solved"". Long story short, I stil didn't recieved my e-pins or even a refund and it's almost 1 month. Furthermore, theres no living customer service being you can contact to. They always refer you to gigi which is completely useless and terrible bot chat service.",1,110760*********095984,A Google user,5.62.0,2023-03-16 13:45:10+00:00,1,1 star,0.8934793472290039,Very negative,308,67,0,Customer Service Support,0.35822391510009766,2023-03
No internet connection daw kahit meron,1,117363*********991274,Ve***********er,5.69.0,2023-10-15 07:59:57+00:00,0,1 star,0.5315483808517456,Very negative,14,6,1,Account Login Issues,0.17055483162403107,2023-10
Verification process is so slow,1,103812*********928831,A Google user,5.62.0,2023-03-14 14:05:18+00:00,0,2 stars,0.44831353425979614,Negative,30,5,1,Account Login Issues,0.27202218770980835,2023-03
Never ending update.................,1,107324*********650381,A Google user,5.60.0,2023-02-25 02:15:19+00:00,0,1 star,0.4638976454734802,Very negative,48,3,1,Fees and Charges,0.1624373197555542,2023-02
Oops no connection to internet bigla. Nyare?,1,111364*********758370,A Google user,4.0.5,2017-07-23 22:23:56+00:00,1,1 star,0.59611576795578,Very negative,51,7,1,User Interface and Experience,0.21673531830310822,2017-07
